symbol,name,moneyflow incoming ratio (%),price change ratio (%),turnover,superbig_angle
sh600469,风神股份,-10.806495011088375,2.22567,130.014,-58.6229
sh600470,六国化工,7.825392175701658,2.93578,332.348,36.4195
sh600475,华光股份,6.5315489706988945,3.0674799999999998,163.045,28.3224
sh600476,湘邮科技,2.20074647388378,3.87546,257.909,69.1526
sh600477,杭萧钢构,38.495614553826115,9.98294,230.791,71.8639
sh600478,科力远,5.868722349688682,2.59434,145.085,56.2085
sh600479,千金药业,12.312222931834096,1.25617,142.287,82.0121
sh600480,凌云股份,-1.502442890566599,2.98246,192.752,51.753
sh600481,双良节能,-4.219533993798234,2.76743,155.752,-70.1715
sh600482,风帆股份,-3.537522283578723,2.96699,264.143,-68.7494
sh600483,福能股份,2.0376117138428596,0.13297899999999999,342.424,61.5417
sh600485,信威集团,-1.158137863499591,-0.0217817,699.54,90.688
sh600486,扬农化工,-16.164354341269824,-0.872648,174.406,-95.7822
sh600488,天药股份,2.4145041136540173,3.15917,134.957,54.3057
sh600489,中金黄金,-16.110245831194078,0.692042,181.2,-86.9675
sh600490,鹏欣资源,26.364842769883225,10.0386,509.198,64.5817
sh600491,龙元建设,10.368959407435103,3.99145,398.119,42.9025
sh600493,凤竹纺织,40.297841579821906,10.0358,572.718,74.1424
sh600495,晋西车轴,7.152301171620719,2.14442,278.362,22.0373
sh600496,精工钢构,4.995227179837442,7.062499999999999,263.739,34.2479
sh600497,驰宏锌锗,-10.019897097206762,1.5444,187.831,-73.3284
sh600498,烽火通信,-1.0788138546874189,5.06593,270.076,16.0379
sh600499,科达洁能,6.419620954658667,0.0794913,203.095,87.0395
sh600500,中化国际,-5.584969573393438,1.11111,112.327,-79.1929
sh600501,航天晨光,-2.134362880912567,3.10492,155.023,-58.4561
sh600502,安徽水利,-5.587412334672505,0.188798,246.41,-88.0914
sh600503,华丽家族,72.71292589968016,10.0451,11.8722,71.1304
sh600505,西昌电力,14.921001319903581,1.53453,234.57,81.491
sh600506,香梨股份,-3.959481085780609,1.8528,151.337,53.1752
sh600507,方大特钢,0.33560428835256106,3.53535,92.6533,-0.0766443
sh600508,上海能源,4.764825406077891,1.9888599999999999,94.6969,3.22134
sh600509,天富能源,-6.8830234416574765,1.7900699999999998,138.204,-61.7726
sh600510,黑牡丹,8.60015740326843,5.25937,64.255,41.1642
sh600511,国药股份,-0.9554053078216888,2.0080299999999998,207.673,-71.0802
sh600512,腾达建设,29.306923730958196,9.70724,752.392,66.9644
sh600513,联环药业,-10.496931346424917,1.52824,193.689,-76.7977
