symbol,name,big in(%),small in(%),price(%),big/price,turnover
sz000802,北京文化,34.6,4.3,16.8,419.119,2.06
sz002011,盾安环境,19.3,4.8,9.42,273.898,2.05
sh600601,方正科技,33.5,2.7,16.31,573.039,2.05
sh600017,日照港,17.3,8.6,8.45,230.81,2.05
sz002184,海得控制,42.3,10.6,20.82,603.899,2.03
sh600634,中技控股,33.5,2.0,16.47,1621.79,2.03
sz002405,四维图新,34.3,3.6,16.91,724.971,2.03
sh600827,百联股份,29.4,-1.9,14.46,164.942,2.03
sh600626,申达股份,17.2,2.7,8.51,343.811,2.02
sh600467,好当家,17.7,5.1,8.75,237.611,2.02
sz002742,三圣特材,17.0,4.2,8.43,867.387,2.02
sz002312,三泰控股,56.9,3.4,28.16,782.901,2.02
sh600960,渤海活塞,18.5,17.8,9.19,170.263,2.01
sz002752,昇兴股份,60.1,40.0,30.04,1125.49,2.0
sz002287,奇正藏药,15.3,-19.6,7.66,60.5467,2.0
sz002367,康力电梯,36.0,2.6,18.12,393.52,1.99
sz000826,桑德环境,22.8,-4.9,11.46,226.309,1.99
sh600506,香梨股份,15.8,3.8,7.94,334.584,1.99
sz000586,汇源通信,30.3,3.2,15.27,484.257,1.98
sh603567,珍宝岛,28.5,-1.1,14.36,1879.65,1.98
sz001696,宗申动力,20.7,-0.8,10.52,445.855,1.97
sh600216,浙江医药,8.9,3.1,4.53,199.787,1.96
sz000587,金叶珠宝,17.0,3.6,8.67,815.017,1.96
sh600435,北方导航,20.3,1.4,10.4,490.372,1.95
sh603889,新澳股份,30.1,5.2,15.42,590.44,1.95
sh600835,上海机电,16.3,-0.7,8.37,283.085,1.95
sh600272,开开实业,13.8,-7.0,7.08,230.398,1.95
sh600039,四川路桥,17.4,3.9,8.92,595.329,1.95
sz000023,深天地Ａ,11.6,1.2,5.96,456.042,1.95
sh603883,老百姓,48.9,2.8,25.37,4245.51,1.93
sh603328,依顿电子,30.9,4.4,15.98,557.85,1.93
sh600012,皖通高速,29.4,3.4,15.2,164.667,1.93
sz002103,广博股份,31.3,12.1,16.26,425.264,1.92
sz002650,加加食品,22.8,2.6,11.9,150.262,1.92
sh600241,时代万恒,14.5,2.7,7.55,422.321,1.92
sz000935,四川双马,15.6,5.9,8.16,429.018,1.91
sz002298,鑫龙电器,41.7,2.9,21.82,608.256,1.91
sz000705,浙江震元,22.0,-2.1,11.56,396.821,1.9
sh603309,维力医疗,30.4,2.7,15.96,1839.77,1.9
sh600004,白云机场,13.4,-9.9,7.05,205.987,1.9
sh600808,马钢股份,19.7,5.1,10.38,198.872,1.9
sh600050,中国联通,11.9,0.0,6.3,300.999,1.89
sh600128,弘业股份,21.2,0.3,11.2,322.922,1.89
sz002738,中矿资源,34.2,8.1,18.07,799.395,1.89
sh600270,外运发展,26.5,0.5,14.06,162.0,1.88
sz002084,海鸥卫浴,18.3,-26.0,9.74,321.084,1.88
sh600491,龙元建设,30.6,1.8,16.3,441.332,1.88
sh600062,华润双鹤,13.1,6.8,6.99,145.981,1.87
sh600158,中体产业,39.8,1.6,21.34,1387.44,1.87
sh600129,太极集团,23.8,1.3,12.71,549.758,1.87
sz002362,汉王科技,30.4,4.1,16.35,1270.18,1.86
sh600663,陆家嘴,26.8,-1.5,14.41,68.2207,1.86
sh600030,中信证券,8.5,0.0,4.58,297.519,1.86
sh600684,珠江实业,16.7,1.8,8.96,291.977,1.86
sz000509,华塑控股,25.8,3.1,13.85,459.521,1.86
sz000810,创维数字,34.9,11.2,18.75,333.882,1.86
sz000780,平庄能源,11.3,3.9,6.12,164.204,1.85
sh603519,立霸股份,37.8,6.7,20.39,1398.79,1.85
sz002235,安妮股份,30.6,6.8,16.53,633.833,1.85
sh603315,福鞍股份,49.0,4.8,26.46,3873.28,1.85
sh600386,北巴传媒,12.2,11.2,6.59,195.715,1.85
sh601668,中国建筑,11.8,0.0,6.38,419.184,1.85
sz000801,四川九洲,39.7,5.2,21.5,246.941,1.85
sh603729,龙韵股份,36.0,3.1,19.58,1783.92,1.84
sh600837,海通证券,1.1,0.0,0.6,569.458,1.83
sh601919,中国远洋,6.4,0.1,3.5,372.889,1.83
sz002016,世荣兆业,10.1,-8.5,5.51,134.044,1.83
sz002649,博彦科技,35.6,3.4,19.48,869.768,1.83
sh600060,海信电器,32.0,-1.1,17.46,219.325,1.83
sz002087,新野纺织,36.7,11.8,20.15,187.289,1.82
sh600794,保税科技,25.9,8.3,14.24,351.277,1.82
sh600862,南通科技,36.5,4.3,20.1,347.814,1.82
sz002177,御银股份,35.5,2.1,19.51,1338.18,1.82
sh600776,东方通信,14.2,2.5,7.79,143.875,1.82
sz002086,东方海洋,35.5,-2.7,19.5,313.303,1.82
sh600893,中航动力,25.8,0.2,14.15,146.362,1.82
sh600422,昆药集团,13.3,3.9,7.35,197.159,1.81
sz000563,陕国投Ａ,17.2,0.9,9.51,235.474,1.81
sh601618,中国中冶,10.9,0.0,6.05,367.05,1.8
sh600643,爱建股份,26.8,2.3,14.98,304.506,1.79
sz002515,金字火腿,41.6,3.8,23.24,501.886,1.79
sh600328,兰太实业,36.9,5.5,20.63,285.157,1.79
